epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1151.37,1.98322,3.47359,0.00918,0.46855,0.30708,0.30354,0.14743,2.06512,1.71597,0.00754,0.00333282,0.00333282,0.00333282
2,2086.59,1.87364,1.87164,0.00876,0.59813,0.36258,0.39818,0.17922,2.101,1.52911,0.00787,0.00666452,0.00666452,0.00666452
3,3457.98,1.91348,1.58798,0.00927,0.56369,0.34117,0.37486,0.17724,2.11006,1.53127,0.00793,0.00998972,0.00998972,0.00998972
4,4350.05,1.94737,1.51583,0.00951,0.61499,0.36505,0.4049,0.17448,2.19574,1.43912,0.00818,0.00997803,0.00997803,0.00997803
5,5216.22,1.91747,1.41689,0.00941,0.62268,0.37334,0.41863,0.18545,2.17339,1.36406,0.00835,0.00996097,0.00996097,0.00996097
6,6075.74,1.90314,1.3506,0.00933,0.64853,0.38228,0.4398,0.19882,2.14346,1.3201,0.0081,0.00993906,0.00993906,0.00993906
7,6933.98,1.89561,1.29981,0.00934,0.6548,0.38145,0.44151,0.20752,2.12854,1.28732,0.00804,0.00991232,0.00991232,0.00991232
8,7814.66,1.8953,1.24143,0.0092,0.67719,0.4111,0.47276,0.22313,2.08919,1.26279,0.00806,0.00988079,0.00988079,0.00988079
9,8708.69,1.88404,1.23044,0.00913,0.69487,0.42603,0.48783,0.21411,2.14858,1.22638,0.00837,0.00984449,0.00984449,0.00984449
10,9728.44,1.86441,1.19934,0.009,0.69139,0.42159,0.48772,0.21937,2.13058,1.20837,0.00835,0.00980345,0.00980345,0.00980345
11,10610.6,1.86733,1.17123,0.00892,0.67922,0.41222,0.47949,0.21899,2.11585,1.22317,0.0082,0.00975773,0.00975773,0.00975773
12,11490.5,1.84826,1.15182,0.0089,0.68569,0.42659,0.4938,0.22561,2.10446,1.21184,0.00827,0.00970736,0.00970736,0.00970736
13,12364,1.83641,1.13208,0.00891,0.72393,0.44256,0.51641,0.23166,2.09271,1.17726,0.008,0.00965239,0.00965239,0.00965239
14,13239.8,1.8352,1.1154,0.00893,0.70577,0.44077,0.50628,0.22526,2.11375,1.13958,0.00805,0.00959289,0.00959289,0.00959289
15,14278.7,1.82857,1.1109,0.00881,0.70972,0.43743,0.50972,0.23425,2.07929,1.16465,0.00791,0.00952889,0.00952889,0.00952889
16,15721.5,1.82205,1.10495,0.00876,0.71539,0.43477,0.51049,0.24209,2.04344,1.14153,0.00775,0.00946048,0.00946048,0.00946048
17,17161.1,1.8244,1.09216,0.00882,0.71168,0.44239,0.51638,0.23918,2.07074,1.15349,0.00805,0.00938772,0.00938772,0.00938772
18,18433.9,1.81801,1.06743,0.00866,0.72586,0.45977,0.53286,0.24277,2.07979,1.10062,0.00803,0.00931067,0.00931067,0.00931067
19,19912.4,1.81008,1.05867,0.00858,0.73976,0.45332,0.5308,0.24431,2.06361,1.10416,0.0079,0.00922942,0.00922942,0.00922942
20,21595.8,1.81275,1.04739,0.00862,0.75733,0.44463,0.52457,0.24011,2.0663,1.0867,0.00786,0.00914405,0.00914405,0.00914405
21,22949.2,1.79603,1.05379,0.00859,0.73176,0.46264,0.53732,0.2436,2.06367,1.09119,0.00791,0.00905463,0.00905463,0.00905463
22,24093.3,1.78946,1.0263,0.00852,0.75648,0.47284,0.5513,0.25507,2.03368,1.05643,0.00771,0.00896127,0.00896127,0.00896127
23,25247.3,1.79301,1.03145,0.00856,0.74728,0.4675,0.547,0.25272,2.041,1.07129,0.00781,0.00886404,0.00886404,0.00886404
24,26464.2,1.78303,1.01886,0.00838,0.74826,0.47254,0.54918,0.2525,2.05568,1.05313,0.00789,0.00876305,0.00876305,0.00876305
25,27633.8,1.78951,1.01614,0.00846,0.76313,0.48589,0.56296,0.26303,2.02715,1.02785,0.00778,0.00865839,0.00865839,0.00865839
26,28459.5,1.78295,1.00542,0.00846,0.7541,0.47776,0.55731,0.26838,1.9901,1.03371,0.00743,0.00855018,0.00855018,0.00855018
27,29261.6,1.77974,1.00159,0.00847,0.76471,0.47239,0.55325,0.26232,2.00853,1.03546,0.00761,0.00843851,0.00843851,0.00843851
28,30065.2,1.77028,1.00583,0.00836,0.74178,0.48881,0.56394,0.27436,1.95173,1.01505,0.00731,0.00832349,0.00832349,0.00832349
29,30988.4,1.76392,0.98671,0.00829,0.75957,0.49023,0.56687,0.27231,1.95909,1.00015,0.00728,0.00820525,0.00820525,0.00820525
30,31966.8,1.74973,0.98025,0.00821,0.76382,0.49237,0.57113,0.28098,1.91844,0.99632,0.00712,0.00808389,0.00808389,0.00808389
31,33005.9,1.75139,0.97619,0.00818,0.77063,0.50113,0.5819,0.28438,1.92056,0.98653,0.00701,0.00795954,0.00795954,0.00795954
32,34077.5,1.74226,0.96864,0.00809,0.77129,0.5033,0.58339,0.28952,1.87968,0.97632,0.0068,0.00783231,0.00783231,0.00783231
33,35287.5,1.73732,0.95983,0.00805,0.77397,0.50487,0.58783,0.29215,1.87846,0.9624,0.0068,0.00770234,0.00770234,0.00770234
34,36530.9,1.73049,0.95173,0.00798,0.76717,0.50829,0.58759,0.29598,1.85752,0.95006,0.00667,0.00756976,0.00756976,0.00756976
35,37705.1,1.71598,0.95281,0.00795,0.7713,0.50501,0.58744,0.29267,1.86514,0.96283,0.00664,0.00743468,0.00743468,0.00743468
36,38882.6,1.72448,0.96078,0.00805,0.77836,0.50887,0.59134,0.30175,1.83472,0.94925,0.00655,0.00729725,0.00729725,0.00729725
37,40060.7,1.71065,0.94295,0.00787,0.77818,0.50675,0.59184,0.30412,1.8168,0.94584,0.00638,0.00715761,0.00715761,0.00715761
38,41226,1.71015,0.93207,0.00786,0.78864,0.51143,0.59662,0.30601,1.81368,0.93841,0.00641,0.00701588,0.00701588,0.00701588
39,42403.8,1.71184,0.93291,0.00793,0.78473,0.51244,0.59799,0.30675,1.81012,0.93343,0.00637,0.00687222,0.00687222,0.00687222
40,43559.8,1.69961,0.93262,0.00779,0.78106,0.51487,0.59776,0.30771,1.79722,0.92386,0.00629,0.00672675,0.00672675,0.00672675
41,44606.2,1.69783,0.91779,0.00781,0.78161,0.52088,0.60151,0.3095,1.80522,0.91232,0.00637,0.00657963,0.00657963,0.00657963
42,45558.4,1.69522,0.90899,0.00769,0.78955,0.51914,0.60376,0.31179,1.79197,0.9187,0.00626,0.00643101,0.00643101,0.00643101
43,46509.1,1.69213,0.90765,0.00774,0.78838,0.52217,0.60751,0.31442,1.78284,0.90935,0.00619,0.00628101,0.00628101,0.00628101
44,47488,1.68506,0.90413,0.00764,0.78598,0.52224,0.60577,0.31337,1.7855,0.90779,0.00617,0.00612981,0.00612981,0.00612981
45,48452.5,1.68752,0.89888,0.00769,0.78754,0.52337,0.60702,0.31524,1.78208,0.90457,0.0062,0.00597754,0.00597754,0.00597754
46,49396.7,1.68006,0.89584,0.00765,0.78995,0.52539,0.60964,0.31734,1.77505,0.90348,0.00615,0.00582435,0.00582435,0.00582435
47,50389.3,1.66818,0.8887,0.00753,0.78549,0.52502,0.60798,0.31602,1.77292,0.90572,0.00611,0.0056704,0.0056704,0.0056704
48,51368.8,1.66653,0.88551,0.00754,0.7852,0.52519,0.60775,0.31724,1.76692,0.90481,0.00608,0.00551584,0.00551584,0.00551584
49,52348.4,1.66452,0.87611,0.00751,0.78574,0.52666,0.61012,0.31762,1.76998,0.90213,0.00617,0.00536081,0.00536081,0.00536081
50,53269.9,1.65415,0.87733,0.00745,0.79387,0.52678,0.61301,0.31965,1.76769,0.89647,0.00612,0.00520548,0.00520548,0.00520548
51,54153,1.6573,0.87152,0.00735,0.79106,0.52781,0.61363,0.31994,1.76749,0.89192,0.00614,0.00505,0.00505,0.00505
52,55022.8,1.65498,0.8598,0.00739,0.78913,0.52894,0.61369,0.32012,1.7684,0.89318,0.00614,0.00489452,0.00489452,0.00489452
53,55921.5,1.65104,0.86168,0.00741,0.78927,0.52753,0.61313,0.32048,1.76593,0.89627,0.00611,0.00473919,0.00473919,0.00473919
54,56803,1.6395,0.84538,0.0073,0.79092,0.52976,0.61456,0.32191,1.75816,0.89081,0.00602,0.00458416,0.00458416,0.00458416
